Date,Post Text
2024-05-10,"About Radix:﻿● 42 year old company● Founded by the current MD, Mr. Sameer Shah, B. Tech from IIT Bombay, in 1980● Principal activities : Instrumentation Manufacturing and Industrial Automation○ Measurement of Temperature, Pressure, Level, Flow○ Products : RTDs, Controllers, Transmitters, Humidity Sensors, Indicators and Isolators○ Industrial Automation in the Pharmaceutical & other industries● Four manufacturing facilities at Mumbai, Navi Mumbai and Pune● Large R&D Center● All-India sales network● About 580 people work at RadixRole DescriptionClient Management: Handling all type of customers like End customer O.E.M Sales, Consultants, Channel management etc. Handling our Channel Partners or dealers in Mumbai. To create new account & rebuild business relation with customers.Managing Sales Activities & execution of the project: Responsible for Specification Driving, Project Bidding and Business Development. Resolving payment issues in direct business to ensure payment collection in time. Coordinate with Service Engineers, after sales support, Key account management etcBusiness analysis: Keeping the close track of the competitors activities like there new product range, area, segmentation, project or channels sales.Technical Management: Mapping client’s requirements and providing them customized business solutions through new proposals, presentations and demonstrations. Interfacing with EPC’s, OEM’s & End Users for suggesting the most viable services & product range and cultivating relations with them for securingrepeat business. Handling the complete Field Instruments Portfolio like Pressure, Temperature, Level, Flow, Corrosion, Acoustic & wireless transmitters.Managing activities pertaining to nogotiating/finlization of deals (Techno commercial) for smooth execution of sales and order processing.KNOWLEDGE, SKILLS :Education(degree / diploma)B. E. , MBAStrong understanding of current market,segment, strategy and best practice. Experience product sales Leadership / Managerial AttributesTo manage teams spread across cities, project management skills would be must.Other requirements:(licenses, certifications, specialized training)Excellent communication skills, Understanding of Ad words, Proficient inMS Excel, Google Docs, Email etc



…see more"
2024-05-10,"We're thrilled to announce an opportunity for Senior Salesforce Developers to join one of our esteemed clients.Position: Senior Salesforce DeveloperExperience: 4 to 10 yearsLocation: Multiple/Hybrid/ OnsiteRequirements:5+ years of hands-on experience in Salesforce development, specializing in Sales Cloud and Service CloudMinimum 2 years of deployment experience (CPQ, Sales Cloud, Service Cloud functionalities)Proficiency in Apex programming, Visualforce, Lightning Web Components, and Salesforce APIs (SOAP, REST)Education: BE / BTECH / MCA / BCAIf you meet these qualifications and are interested, please submit your CV to Harshit.Ahuja@cloudanalogy.comShweta Latant Simran Negi Cloud Analogy#PD1 #pd2 #developmentsalesforce #lwc #salesforcedevelopment #salesforcedeveloper #salesforce #CPQ #salescloud #servicecloud #salesforceAPI #Apex #visualforce #remotework #remote #remotejob #remoteopportunity #workfromhome #wfh #hiringalert #hiring #jobopportunity #jobopening #Hybrid #onsite #salesforce



…see more"
2024-05-10,"Hello All,Hope you are doing well,I have consultants on my bench, looking for new roles in the USA. I am looking for C2C Requirements.NOTE: I Am Bench sales Recruiter.My Hotlist is hear of Candidate's who are looking for projectName : Sravani Technology: Data EngineerExperience : 11Visa : H1Binterview : F2F also ok Relocation: Yes, All over USA hybrid /Remote Name : AalekhyaTechnology: Senior Full Stack Java DeveloperExperience : 9+Visa : H1BRelocation: Yes, All over USAName : RavaliTechnology: QA/SDET Experience : 10+Visa : H1Binterview : F2F also ok Relocation: Yes, All over USAName : Deepika Technology: UI/UX DeveloperExperience : 7Visa : OPTRelocation: Yes, All over USAI’ll appreciate it if you can add my email id to your distribution list and share with me your daily C2C, I’ll assist you with candidate resumes and details.Sai Vinay ,Recruiter,27 South St, Suite 2B,Northborough, MA 01532.Contact Number: 508 659 8443Email: saivinay@zensoftit.comhttp://www.zensoftit.com



…see more"
2024-05-10,"Hello Bench sales recruiters/Connsultants.We have urgent requirement see below.Requirement  : JDE EnterpriseOne 9.2 Manufacturing Functional ConsultantDuration       : 6 Months – 1 YearLocation       : Bolingbrook, IL, Need to work Onsite.if you have any resumes contact me : 609 400 0341 or mail me: rvelamala@pentafourgroup.comThanksMurthy



…see more"
2024-05-10,"Hello#linkedinfamily....We are hiring....TekPillar®Position : 📈 Channel Sales managerLocation: 🌍 #amritsar #patiala #kurukshetra #chandigarh #jalandhar #yamunanagar #hissar #rohtakEducation: 📚Any Graduate👉🏻Requirements:3 years in any Sales and Marketing experience in any fieldLocal person having sound network candidates preferredExcellent communication skills🏆Perks :Competitive SalaryGlobal ExposureCareer Growth OpportunitiesApply here,📞Contact: +91 9913084432 | Hetal✉️Mail: hetal@tekpillar.com#sales #marketing #banking #field #b2b #b2c #casa #credit #debit #teamleader #insurance #bfsi #nbfc #fmcg #pharma #loans #leadgeneration #agency #realestete #microfinance #fianance #clientrelationship #mr #travel #tourism #counselling



…see more"
2024-05-10,"Hello, Connections!Passionate about Real Estate? 🏦 Here are FANTASTIC opportunities that will add value to your career! 🚀 We are on the lookout for exceptionally talented professionals for our Dubai-based Luxury Real Estate Developer client for the below-mentioned positions: 1. Property Consultant- Minimum 2 years of Real Estate experience required (off-plan sales)2. Sales Coordinator / Sales Administrator- - Proven experience in drafting sales-purchase agreements and business contracts and documentation- At least 2 years of Real Estate experience required3. Director Of Sales -- EXCEPTIONAL SALES REQUIRED- Strong off-plan experience- Proven team handling experience required (at least 4-5 years)- A minimum of 3-4 years of prior Real Estate Developer experience required in the INDIAN REAL ESTATE MARKET4. Business Development Manager-- The candidate must be fluent in English and Arabic- At least 3-4 years of Dubai Real Estate experience required (Developer)- Hands-on experience in onboarding a GOOD AMOUNT of real estate agents/brokers or sales professionals for the company- Off-plan expertise requiredSo, folks, if you have the relevant experience, match our requirements, and look forward to exploring STAGGERING opportunities in the Real Estate Market, make sure you're applying at the earliest! 🎯 Also, please spread the word, if you know anyone who would be a good fit, we wanna hear from them!To apply, kindly  DM or mail your Resumes at zenobiaconvictionglobal@gmail.com WhatsApp: +91 86558 11275Please note: Only candidates who are based in Dubai can apply#dubaijobs #dubairealestate #jobsindubai #gulfjobs #gccjobs #realestatehiring #jobsinuae #dubaihiring #realestatejobs #salesjobs #businessdevelopment #propertyconsultant #salesdirector #hiring #dubaihirings



…see more"
2024-05-10,"🌟 Job Opportunity 🌟Company: TechRoar (Sister Concern Firm of Techbliss Solutions)Profile: Business Development Manager (BDM)Location: Sector 104, NoidaWorking Hours: Mon-Fri, 10AM - 7PMWe are seeking a dynamic Business Development Manager to join our team at TechRoar! If you have a passion for sales and a proven track record of selling IT products like CRM, Cloud Solutions, we want to hear from you.Key Requirements:Sales experience in IT products, particularly CRM and Cloud Solutions. Added Advantage: Previous work experience with companies like Ingram, Redington, TechData, Crayon, Acronis preferredStrong communication and negotiation skillsAbility to build and maintain client relationshipsProven track record of meeting and exceeding sales targetsSalary Range: Rs 45-50K + IncentivesIf you're ready to take on a new challenge and grow with a dynamic team, apply now! Send your resume to ops@techroar.inWhatsApp 8595145155. #BusinessDevelopmentManager #SalesJobs #TechRoar #NoidaJobs



…see more"
2024-05-10,"We are Hiring Key Account Manager SalesExperience: 1 – 4 YearsLocation- BangaloreJob Summary: The candidate must be passionate for sales with an ability to understand the clients’ requirements and provide relevant solutions in the required time frame. The candidate is required to maintain a healthy professional relationship with the client and should contain multi-tasking abilities.Responsibilities:  1) Proactively generate new leads through various channels, including cold calling, networking events, referrals, and online research.2) Build a list of potential clients, reach out to them, fix meetings, gather requirements, share plans and get business. 3) Develop and implement strategies to maximize sales opportunities and market penetration.4) Establish and nurture strong relationships with corporate clients. 5) Meet or exceed sales targets and revenue goals within the assigned territory or client segment.6) Maintain accurate and up-to-date sales records, activity reports, and pipeline management. Provide regular sales forecasts, performance analysis, and market insights to sales management.7) Work closely with the media managers to address the client queries.8) Execute and monitor the campaigns. Remain the single point of contact for the advertiser in Excellent Publicity.Skills Required: 1) Strong knowledge and understanding of industry dynamics.2) Excellent communication and interpersonal skills, with the ability to build rapport and influence decision-makers.3) Strong negotiation and closing skills, with a demonstrated ability to drive sales and achieve revenue targets.4) Can work independently with minimum supervision. 5) Experience working in the corporate gifting industry or a related B2B sales role.6) Proficiency in MS Office.7) Localities with understanding of local language8) Flexibility to travel as required meeting with clients and attending industry events.Send your resume at Kriesha@excellentpublicity.com



…see more"
2024-05-10,"Hello Bench Sales Recruiters,Hope you all are doing great… !😊I have a great job opportunity from our organization to grab, interested candidates please do share your resume @ below contact info:Mail Id: joel@tekiqllc.comPhone/ WhatsApp: 7093426360 Job Title: Bench Sales RecruiterLocation: Remote Roles and Responsibilities:·       Handling full life cycle of End-to-End Bench sales process of US IT Consulting which includes Identifying suitable job requirements, generating new vendor leads, regular follow-ups with vendors, arranging client Interviews, pre & post Interview follow-up, closing and Offer preparation, delivering consultants·       Responsible for overseeing the day-to-day operations of the team, distributing the workload evenly amongst Recruiter and making sure motivation and performance levels are maintained.·       Hands on Experience in Bench sales marketing of various consultants, Prime Vendors and Direct Clients. ·       Having worked on bench sales candidate’s skills such as Cloud Architects, DevOps Engineer, Technical Project Manager, Java, .NET, Front End, Back End, UX, Full stack, ETL, Oracle, Business Intelligence, Hadoop, Informatica, Network, Cyber Security etc.,·       Strong relationship with Clients/partners and consistent track record of achieving business through them.·       Devise and implement marketing strategies to optimize the process and achieve success.Qualifications:·       Proven 8+years of work experience as a Bench Sales Recruiter·       Technical expertise with an ability to understand and explain job requirements to consultants·       Solid knowledge of various strategies on marketing OPTs, H1B, GC and USC candidates·       Expert in job portal searches likes Dice, Monster, Career Builder, Tech fetch, Prohire, indeed, LinkedIn etc.·       Excellent verbal and written communication skills·       Solid understanding of HR practices and labour legislation·       MBA in Human Resources Management with technical background.



…see more"
2024-05-10,"Sanatan Bus Body Builders Pvt Ltd is hiringDesignation - Sales and Marketing Executive Department - Sales and Marketing Experience - Fresher/Experienced both can apply Qualification - BBA/MBA in Marketing Location - Indore, Madhya Pradesh Responsibilities:1. Learn and understand the company's products, services, and target market.2. Conduct market research to identify potential customers, market trends, and competitor activities.3. Support the development of sales presentations, proposals, and promotional materials.4. Communicate with clients via phone calls, emails, and in-person meetings to understand their needs and requirements.5. Participate in sales meetings, training sessions, and workshops to enhance selling skills and product knowledge.6.Collaborate with internal teams such as product development, customer service, and logistics to ensure customer satisfaction and timely delivery of products.6. Assist in maintaining accurate sales records, reports, and databases.7. Actively contribute ideas and suggestions to improve sales and marketing strategies and processes.Interested Candidates, Share your resume on given mail address.hr@sanatanbus.com#marketing #sales #fresher #salesexecutive #marketingexecutive #salesandmarketing #mbafresher #mbamarketing #mbasalesandmarketing #mbasales #salesfresher #marketingfresher



…see more"
2024-05-10,"**Job Title: Sales Manager****Location:** Tower 4, Unit No. 1717, DLF Corporate Greens, Sector 74 A, Gurgaon**Salary:** Competitive, no bar for the right candidate; Profit sharing available**Responsibilities:**1. Conducting client follow-ups to ensure excellent customer service and satisfaction.2. Providing briefs to the team regarding project details, goals, and targets.3. Actively participating in client meetings to understand their needs and offer tailored solutions.4. Demonstrating in-depth knowledge of the projects and services offered.5. Utilizing CRM systems to track client interactions, manage leads, and optimize sales processes.6. Collaborating with other departments to ensure smooth project execution and delivery.7. Developing and implementing sales strategies to achieve and exceed targets.8. Mentoring and coaching the sales team to enhance performance and achieve goals.**Requirements:**1. Proven experience as a Sales Manager or similar role, preferably in the real estate industry.2. Excellent communication and negotiation skills.3. Strong leadership and team management abilities.4. Demonstrated ability to build and maintain client relationships.5. Strategic thinking and problem-solving skills.                    **Salary - No Bar** Candidates interested send your CV hr@gurgaonhouze.com 8929107437#jobvacancy #realestatejob #realestaejobvecancy #realestateagentjob #realestatejob #gurgaonjob #gurugramjob #realestatevancancy #vacancy



…see more"
2024-05-10,"🚀MEGA WALK-IN DRIVE ALERT! FOR #FRESHERS🚀Are you a recent graduate with a passion for sales and a hunger for success?Conserve Solution invites you to our exclusive #WalkInDrive tailored for #SalesExecutive Freshers eager to kickstart their career journey.📅 Date: 11.05.24🕒 Time: 09.00 AM - 05.30 PM📍 Location: No 15 and 16, 1st Link Road, OMR, Nehru Nagar, Kottivakkam, Chennai.Why Join Us?🔸 Comprehensive training and mentorship programs designed to equip you with the skills needed to excel in sales.🔸Exciting growth opportunities in a dynamic and supportive work environment.🔸Chance to work with industry-leading professionals and renowned brands.Roles & Responsibilities:🔸Conduct outbound sales activities including cold calling and convert them into course enrolments.🔸Build and maintain relationships with prospective students through effective communication and personalized engagement strategies.🔸Provide accurate and detailed information about our course offerings, curriculum, features, and benefits to address potential learners' inquiries and concerns.🔸Guide prospective students through the enrolment process, including registration, payment, and access to course materials.🔸Collaborate with marketing teams to develop and implement sales campaigns, promotions, and initiatives to drive enrolment numbers and meet sales targets.🔸Maintain accurate records of sales activities, client interactions, and revenue projections using reporting tools.Requirements:🔸Bachelor's degree in any discipline.🔸Excellent communication and interpersonal skills.🔸Strong desire to learn and grow in a sales-driven environment.🔸Ability to work collaboratively in a team as well as independently.Spread the word and tag your #friends who are ready to embark on their sales journey!For more details, reach out to [8148865302 / iyswarya_govindaraju@conservesolution.com]#freshershiring #salesexecutive #2024hiring #immediateopenings



…see more"
2024-05-10,"#virtualRM #Mumbai #sales #AMC #Mutualfunds #hiring@Kashish FatnaniI am looking to connect with Virtual Relationship Manager who uses digital platforms to build and maintain relationships with partners. He will be responsible for understanding partner needs, providing tailored solutions, and offering services such as wealth management and investment consulting.Years of Experience -4-7 Yrs.Location-Mumbai·       Qualification- Graduation + Preferably NISM CertifiedJob Responsibilities for a Virtual Relationship Manager as follows: -·       Develop and maintain relationships with partners or distributors through digitalcommunication tools such as video/calls conferencing, emails, and messaging services.·       Resolving partner complaints quickly and effectively.·       Forwarding upselling and cross-selling opportunities to the sales team.·       Promoting high-quality sales, supply, and partner service processes.·       Approaching potential partners to establish relationships.·       Drive sales through the agency network by onboarding new partners and help in conductingcontinuous agent training programs.·       Ensure adherence to documented processes, procedures, and controls within the·       compliance framework.·       Address and resolve any issues or concerns related to accounts, transactions, and servicespromptly.·       Building and maintaining positive relationships with partners virtually &amp; gaining solidknowledge of competitors.Requirements:·       Proven experience as a Partner Relationship Manager.·       Knowledge of partner relationship management (CRM) practices.·       Experience in sales or partner service is preferred. If you're seeking for your next professional move and these opportunities fit you, please DM or reach out to me on antara.connections@gmail.com along with your CV and compensation details.



…see more"
2024-05-10,"🏡 Join Our Team as a Real Estate Sales Team Leader! 🏡Are you a dynamic leader with a passion for real estate sales? We're seeking a highly motivated and experienced individual to join our team as a Team Leader Sales. If you're ready to take the next step in your career and lead a team to success, we want to hear from you!About Us:Geetanjali Homestate Pvt Ltd is a leading real estate firm dedicated to providing exceptional service to our clients. With a focus on innovation and excellence, we're committed to helping individuals and families achieve their real estate goals.↔ Position: Team Leader Sales (Real Estate)↔ Location: Gurugram↔ Type: Full-time➡ Responsibilities:1. Lead and motivate a team of real estate sales agents to achieve sales targets and exceed client expectations.2. Provide coaching, guidance, and support to team members to enhance their performance and professional development.3. Develop and implement strategies to drive sales growth and increase market share.4. Collaborate with other departments to ensure seamless coordination and delivery of services to clients.5. Monitor market trends and competition to identify opportunities for business expansion and improvement.6. Foster a positive and collaborative team culture focused on excellence and integrity.➡ Requirements:1. Minimum of 3-4 years of experience in real estate sales, with a proven track record of success.2. Strong leadership skills with the ability to inspire and motivate a team.3. Excellent communication and interpersonal skills.4. In-depth knowledge of the local real estate market and industry trends.5. Proficiency in real estate software and tools.6. Bachelor's degree in Business Administration, Marketing, or related field .➡ Benefits:1. Competitive salary and performance-based incentives.2. Opportunities for professional development and advancement.3. Collaborative and supportive work environment.If you're ready to lead a team to success and make a difference in the real estate industry, we want to hear from you!  Call 📞on 9911890046Join us in shaping the future of real estate!Aanchal Rustagi Aditi Kumari Verma Hemant KumarGeetanjali Homestate Pvt Ltd



…see more"
2024-05-10,"**Job Title: Business Development Executive (BDE) - Fresher****Location:** Ahmedabad, India**Company Overview:**  SetuBridge Technolabs is a leading technology solutions provider based in Ahmedabad, India. We specialize in delivering innovative software solutions to clients worldwide, empowering businesses to achieve their goals and drive digital transformation. Our team comprises dynamic professionals who are passionate about leveraging technology to create value for our clients and make a positive impact in the industry.**Position Overview:**  We are currently seeking a highly motivated and enthusiastic Business Development Executive (BDE) to join our team. This is an exciting opportunity for recent MBA graduates who are eager to kick-start their career in sales and business development. As a BDE, you will play a pivotal role in driving business growth, building relationships with clients, and contributing to the success of our organization.**Key Responsibilities:**- Identify and pursue new business opportunities through proactive lead generation and market research.- Develop and maintain strong relationships with prospective clients, understanding their needs and providing tailored solutions.- Collaborate with the sales and marketing teams to develop effective strategies for lead generation and customer acquisition.- Prepare and deliver compelling presentations and proposals to prospects, showcasing the value proposition of our products and services.- Negotiate contracts and close deals to meet sales targets and revenue objectives.- Provide regular updates on sales activities, pipeline, and performance metrics to management.**Requirements:**- MBA degree in Marketing, Business Administration, or related field.- Fluent in English with strong communication skills (both written and verbal).- Proven ability to build rapport with clients and effectively articulate value propositions.- Results-driven mindset with a passion for sales and business development.- Ability to work independently as well as collaboratively in a team environment.- Excellent time management and organizational skills, with the ability to prioritize tasks effectively.**How to Apply:**  If you are a motivated and ambitious individual looking to launch your career in business development, we invite you to join our team at SetuBridge Technolabs. To apply for this position, please send your resume and cover letter to hr@setubridge.com.**Note:**  SetuBridge Technolabs is an equal opportunity employer and welcomes applicants from diverse backgrounds to apply. We thank all candidates for their interest in joining our team; however, only shortlisted candidates will be contacted for further evaluation.[Company Name: SetuBridge Technolabs]



…see more"
